OTU	lineage	X12	X11	X10	X14	X17	X15	X16	X13	X24	X26	X23	X25	X18	X20	X19	X21
OTU236	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	433	0	0	0	0	0	0	0	0
OTU237	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae	0	0	0	72	79	284	0	0	0	0	0	0	0	0	0	777
OTU241	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Noctuidae	0	0	0	0	0	0	272	0	406	0	0	0	0	0	0	0
OTU242	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Syrphidae	0	0	0	32	0	0	425	0	0	0	0	0	0	0	0	0
OTU244	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	884	0	0	0	410	0	0	0	0	0	0	0	45
OTU251	r__root;p__Arthropoda;c__Collembola;o__Entomobryomorpha	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU253	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Micropezidae	0	0	0	0	0	540	0	0	0	0	0	0	0	0	253	0
OTU254	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	55	0	0	0	0	0	0	0	0	0	0	305	0	0	0	0
OTU256	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU258	r__root;p__Arthropoda;c__Insecta;o__Hemiptera	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0
OTU259	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	0	0	0	0	0	0	0	0	0	0	0	0	121	79	0	602
OTU260	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae	0	0	0	30	0	0	0	0	0	99	0	0	0	0	60	92
OTU262	r__root;p__Arthropoda;c__Insecta;o__Blattodea	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0
OTU264	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Tabanidae	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU265	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU268	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU271	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	39	0	0	0	0	838	0
OTU272	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262
OTU275	r__root;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU277	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	305	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0
