otu	lineage	X14	X22	X17	X24	X11	X10	X20	X23	X21	X18	X25	X12	X16	X15
OTU604	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	276	0	127	0	0	0	0	0	0	0	0	0	0
OTU609	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	203	0	0	0	0	0	0	0	0
OTU611	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	0	0	0	191	0	0	0	0	0	0	0
OTU612	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	199	0	0	0	0
OTU613	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	0	198
OTU616	r__root;p__Arthropoda;c__Arachnida	0	0	0	0	0	0	0	0	0	0	334	0	0	0
OTU620	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	0	0	0	0	194	0	0	0
OTU624	r__root;p__Arthropoda;c__Insecta;o__Embioptera;f__Australembiidae	0	0	0	0	0	192	0	0	0	0	0	0	0	0
OTU626	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	239	0	0	0	0	0	0	0
OTU627	r__root;p__Arthropoda;c__Arachnida;o__Araneae	0	0	0	0	0	0	0	0	0	0	0	190	0	0
OTU629	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	0	0	189	0	0	0	0	0	0	0	0	0	0
OTU634	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	221	0	0	0	0	0	0	0	0	0	0	0	0
OTU637	r__root;p__Arthropoda;c__Insecta;o__Mantodea;f__Mantoididae	0	0	0	0	0	0	0	0	0	0	0	0	0	184
OTU639	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Encyrtidae	0	0	0	0	0	0	0	0	0	0	0	0	0	182
OTU640	r__root;p__Arthropoda;c__Insecta	0	182	0	0	0	0	0	0	0	0	0	0	0	0
OTU641	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Encyrtidae	0	0	107	0	0	0	29	0	0	0	0	0	0	0
OTU665	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Hemiptera	0	0	0	0	0	0	0	0	0	0	0	0	0	250
OTU666	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae	0	0	0	0	0	0	0	0	0	0	0	0	259	0
OTU669	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	622	0	0	0	0	0	0	0	0	0	0	0
OTU673	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	0	0	242	0	0
OTU674	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	356	0	0	0	0	0	0	0	0
OTU676	r__root;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae	0	148	0	0	0	0	0	49	0	0	0	0	0	0
OTU678	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Vespidae	0	0	0	0	0	0	0	0	0	0	0	0	158	0
OTU691	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	152	0
OTU692	r__root;p__Arthropoda;c__Insecta;o__Hymenoptera	0	0	0	0	0	0	0	0	0	0	0	0	151	110
